E:\WP110382\Peak Valley - Actual Test - ELF 6 03122018 024548_pvd.CSV ,,,,,,,,,,
,,,,,,,,,,
0 to -4mm @ 25Hz, 219k cycles block.,,,,,,,,,
,,,,,,,,,,
Created ,3/12/2018,2:45:49 PM,,,,,,,,
Exported,3/12/2018,4:01:19 PM,,,,,,,,
,,,,,,,,,,
Channels,,,,,,,,,,
Disp,Load 1,Load 2,Load 3,Load 4,Load 5,Load 6,Load 7,Load 8,Load 9,Load 10
,,,,,,,,,,
Units,,,,,,,,,,
mm,N,N,N,N,N,N,N,N,N,N
,,,,,,,,,,
Movers,,,,,,,,,,
Axial,Temp,,,,,,,,,
,,,,,,,,,,
Workspace Unsecure,,,,,,,,,,
,,,,,,,,,,
_______________________________________________________________________________________,,,,,,,,,,
****Waveform Information is written at start of Data Acquisition, not start of waveform.****,,,,,,,,,
,,,,,,,,,,
Axial,Sine Wave,Control Channel Disp_INV,Level1: 0.000000,Level2: -4.000000,Frequency: 25.000000,Cycles: 219000,Start Frequency: 1.000000,Done Frequency: 1.000000,Done Level: 1.000000,
Temp,Sine Wave,Control Channel Temperature,Level1: 0.0,Level2: 0.0,Frequency: 1.0,Cycles: 999999,Start Frequency: 1.0,Done Frequency: 1.0,Done Level: 0.0,
_______________________________________________________________________________________,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
_______________________________________________________________________________________,,,,,,,,,,
****Tuning Parameters.****,,,,,,,,,,
7.08,109778,0,0.089,-1.886,0.007,-2.053,0.044,-1.87,0.098,-1.738
7.12,109779,0,0.09,-1.884,0.015,-2.055,0.049,-1.867,0.098,-1.741
7.16,109780,0,0.092,-1.884,0.012,-2.053,0.048,-1.868,0.089,-1.742
7.2,109781,0,0.088,-1.881,0.007,-2.053,0.045,-1.865,0.099,-1.742
7.24,109782,0,0.09,-1.887,0.011,-2.057,0.044,-1.865,0.096,-1.741
7.28,109783,0,0.087,-1.884,0.009,-2.05,0.042,-1.867,0.095,-1.744
7.32,109784,0,0.089,-1.885,0.005,-2.057,0.046,-1.865,0.092,-1.741
7.36,109785,0,0.088,-1.881,0.009,-2.055,0.04,-1.864,0.099,-1.737
7.4,109786,0,0.09,-1.885,0.007,-2.053,0.044,-1.865,0.096,-1.755
7.44,109787,0,0.089,-1.884,0.016,-2.057,0.045,-1.87,0.099,-1.764
7.48,109788,0,0.089,-1.882,0.016,-2.05,0.046,-1.864,0.1,-1.77
7.52,109789,0,0.087,-1.881,0.013,-2.05,0.044,-1.865,0.095,-1.747
7.56,109790,0,0.087,-1.885,0.016,-2.053,0.043,-1.864,0.107,-1.735
7.6,109791,0,0.088,-1.881,0.016,-2.053,0.039,-1.858,0.096,-1.735
7.64,109792,0,0.087,-1.884,0.017,-2.053,0.04,-1.865,0.099,-1.738
7.68,109793,0,0.089,-1.887,0.021,-2.055,0.033,-1.86,0.094,-1.737
7.72,109794,0,0.09,-1.882,0.017,-2.055,0.043,-1.863,0.095,-1.732
7.76,109795,0,0.088,-1.882,0.016,-2.048,0.039,-1.864,0.105,-1.751
7.8,109796,0,0.093,-1.884,0.015,-2.047,0.043,-1.858,0.099,-1.748
7.84,109797,0,0.089,-1.885,0.022,-2.05,0.04,-1.867,0.111,-1.743
7.88,109798,0,0.09,-1.882,0.022,-2.047,0.043,-1.864,0.105,-1.733
7.92,109799,0,0.093,-1.881,0.021,-2.053,0.042,-1.86,0.105,-1.74
